"measure_1","measure_2","tau","networks"
"laplacian","mnc",0.8789,18
"community_based","node_contraction_improved",0.8788,14
"communicability_betweenness","delta_closeness",0.8785,19
"communicability_betweenness","gilschmidt",0.8785,19
"gravity","mnc",0.8785,18
"kpath","mnc",0.8784,18
"community_based","random_walk",0.878,19
"diffusion","gravity",0.8779,19
"dangalchev","gravity",0.8778,19
"decay","gravity",0.8778,19
"generalized_closeness","gravity",0.8778,19
"gravity","residual_closeness",0.8778,19
"communicability_betweenness","harmonic",0.8777,19
"communicability_betweenness","reaching_local",0.8777,19
"community_based","katz",0.8776,19
"community_based","information",0.8774,19
"fragmentation","node_contraction_improved",0.8774,14
"average_distance","node_contraction_improved",-0.8773,14
"barycenter","node_contraction_improved",0.8773,14
"closeness","node_contraction_improved",0.8773,14
"lin","node_contraction_improved",0.8773,14
"node_contraction_improved","radiality",0.8773,14
"node_contraction_improved","wiener",-0.8773,14
"gravity","nonbacktracking",0.877,19
"subgraph","weighted_h_index",0.8769,19
"markov","mnc",0.8768,18
"hub","katz",0.8764,19
"communicability_betweenness","gravity",0.8758,19
"communicability_betweenness","dangalchev",0.8755,19
"communicability_betweenness","decay",0.8755,19
"communicability_betweenness","generalized_closeness",0.8755,19
"communicability_betweenness","residual_closeness",0.8755,19
"diffusion","local_entropy",-0.8754,19
"community_based","spanning_tree",0.8754,19
"degree","hindex_strength",0.8751,19
"expected_influence_1","hindex_strength",0.8751,19
"degree","lobby",0.8751,19
"expected_influence_1","lobby",0.8751,19
"harary","node_contraction",0.8751,19
"hindex_strength","strength",0.8751,19
"lobby","strength",0.8751,19
"communicability_betweenness","fragmentation",0.8742,14
"closeness_vitality","integration",-0.874,19
"community_based","gravity",0.8736,19
"dangalchev","katz",0.8732,19
"decay","katz",0.8732,19
"generalized_closeness","katz",0.8732,19
"katz","residual_closeness",0.8732,19
"community_based","current_flow_closeness",0.8726,19
"gravity","hindex_strength",0.8724,19
"gravity","lobby",0.8724,19
"dangalchev","kpath",0.8722,19
"decay","kpath",0.8722,19
"generalized_closeness","kpath",0.8722,19
"kpath","residual_closeness",0.8722,19
"kpath","weighted_h_index",0.871,19
"mnc","random_walk",0.8709,18
"information","mnc",0.8703,18
"mnc","spanning_tree",0.8695,18
"expected_influence_2","gravity",0.8692,19
"current_flow_closeness","mnc",0.8691,18
"delta_closeness","mnc",0.8689,18
"gilschmidt","mnc",0.8689,18
"centroid","pagerank",0.8688,19
"harmonic","mnc",0.8687,18
"mnc","reaching_local",0.8687,18
"laplacian","node_contraction_improved",0.8686,14
"kpath","node_contraction_improved",0.8683,14
"centroid","gravity",0.8682,19
"nonbacktracking","weighted_h_index",0.868,19
"communicability_betweenness","hub",0.8667,19
"current_flow_betweenness","delta_betweenness",0.866,19
"local_entropy","weighted_h_index",-0.866,19
"community_based","kpath",0.8658,19
"degree","fragmentation",0.8651,14
"expected_influence_1","fragmentation",0.8651,14
"fragmentation","strength",0.8651,14
"community_based","pagerank",0.8648,19
"diffusion","markov",0.8646,19
"local_bridging","node_contraction_improved",-0.8646,14
"expected","gravity",0.864,19
"harary","local_bridging",-0.864,19
"gateway","participation",0.8639,19
"cross_clique","mnc",0.8635,18
"community_based","laplacian",0.8632,19
"markov","subgraph",0.8632,19
"communicability","markov",0.8631,19
"eigenvector","markov",0.8629,19
"cross_clique","degree",0.8623,19
"cross_clique","expected_influence_1",0.8623,19
"cross_clique","strength",0.8623,19
"community_based","mnc",0.862,18
"epc","gravity",0.8618,14
"integration","node_contraction_improved",0.8616,14
"epc","markov",0.8615,14
"delta_betweenness","effective_size",0.8612,19
"hide_information","spanning_tree",-0.8611,19
"community_based","harmonic",0.861,19
"current_flow_closeness","hide_information",-0.861,19
